Daily NAV History	Balanced Income	Balanced	Balanced Growth	Dividend	Equity Growth
October 16, 2017	$12.97	$14.10	$14.73	$11.17	$17.87
October 13, 2017	$12.94	$14.06	$14.68	$11.14	$17.81
October 12, 2017	$12.90	$14.02	$14.63	$11.10	$17.75
October 11, 2017	$12.90	$14.04	$14.66	$11.14	$17.81
October 10, 2017	$12.88	$14.01	$14.63	$11.11	$17.76
October 06, 2017	$12.86	$13.99	$14.61	$11.07	$17.73
October 05, 2017	$12.87	$14.00	$14.62	$11.08	$17.75
October 04, 2017	$12.84	$13.95	$14.56	$11.05	$17.65
October 03, 2017	$12.85	$13.96	$14.57	$11.06	$17.68
October 02, 2017	$12.83	$13.93	$14.54	$11.04	$17.63
September 29, 2017	$12.84	$13.93	$14.52	$11.01	$17.59
September 28, 2017	$12.80	$13.87	$14.45	$10.97	$17.49
September 27, 2017	$12.77	$13.80	$14.37	$10.90	$17.36
September 26, 2017	$12.76	$13.77	$14.33	$10.87	$17.29
September 25, 2017	$12.78	$13.79	$14.34	$10.90	$17.30
September 22, 2017	$12.76	$13.77	$14.32	$10.85	$17.28
September 21, 2017	$12.75	$13.77	$14.33	$10.85	$17.29
September 20, 2017	$12.74	$13.74	$14.29	$10.81	$17.23
September 19, 2017	$12.75	$13.74	$14.29	$10.81	$17.21
September 18, 2017	$12.72	$13.67	$14.20	$10.72	$17.08
September 15, 2017	$12.70	$13.63	$14.15	$10.67	$17.00
September 14, 2017	$12.70	$13.63	$14.15	$10.64	$16.99
September 13, 2017	$12.70	$13.64	$14.15	$10.64	$16.99
September 12, 2017	$12.71	$13.63	$14.14	$10.63	$16.97
September 11, 2017	$12.70	$13.60	$14.09	$10.59	$16.89
September 08, 2017	$12.69	$13.56	$14.03	$10.53	$16.79
September 07, 2017	$12.71	$13.56	$14.03	$10.52	$16.77
September 06, 2017	$12.72	$13.58	$14.06	$10.55	$16.81
September 05, 2017	$12.81	$13.68	$14.17	$10.61	$16.95
September 01, 2017	$12.81	$13.73	$14.23	$10.67	$17.06
August 31, 2017	$12.86	$13.79	$14.30	$10.70	$17.15
August 30, 2017	$12.86	$13.79	$14.30	$10.72	$17.15
August 29, 2017	$12.84	$13.73	$14.22	$10.66	$17.03
August 28, 2017	$12.82	$13.72	$14.22	$10.66	$17.03
August 25, 2017	$12.82	$13.71	$14.20	$10.67	$17.01
